1485998630.47 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.9716796875, 'AI2': -0.986328125} 
1485998630.52 {'AI5': 2.32421875, 'AI4': 4.7705078125, 'AI0': -0.9814453125, 'AI2': -0.986328125} 
1485998630.57 {'AI5': 2.3291015625, 'AI4': 4.765625, 'AI0': -0.9912109375, 'AI2': -0.9814453125} 
1485998630.61 {'AI5': 2.32421875, 'AI4': 4.7705078125, 'AI0': -0.986328125, 'AI2': -0.9814453125} 
1485998630.66 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.015625, 'AI2': -1.005859375} 
1485998630.71 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.966796875, 'AI2': -0.9765625} 
1485998630.76 {'AI5': 2.3193359375, 'AI4': 4.765625, 'AI0': -0.9814453125, 'AI2': -0.986328125} 
1485998630.81 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.0107421875, 'AI2': -1.0107421875} 
1485998630.85 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.0205078125, 'AI2': -1.025390625} 
1485998630.9 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.025390625, 'AI2': -1.0205078125} 
1485998630.95 {'AI5': 2.32421875, 'AI4': 4.7705078125, 'AI0': -1.025390625, 'AI2': -1.025390625} 
1485998631.0 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.986328125, 'AI2': -0.9912109375} 
1485998631.05 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.9912109375, 'AI2': -0.99609375} 
1485998631.09 {'AI5': 2.3291015625, 'AI4': 4.765625, 'AI0': -1.0009765625, 'AI2': -1.005859375} 
1485998631.14 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.99609375, 'AI2': -0.99609375} 
1485998631.19 {'AI5': 2.32421875, 'AI4': 4.7705078125, 'AI0': -0.99609375, 'AI2': -1.0009765625} 
1485998631.24 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.99609375, 'AI2': -0.9912109375} 
1485998631.29 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.99609375, 'AI2': -0.9912109375} 
1485998631.33 {'AI5': 2.3193359375, 'AI4': 4.7705078125, 'AI0': -0.9912109375, 'AI2': -0.9912109375} 
1485998631.38 {'AI5': 2.3193359375, 'AI4': 4.7705078125, 'AI0': -0.9912109375, 'AI2': -0.99609375} 
1485998631.43 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.015625, 'AI2': -1.025390625} 
1485998631.48 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.0107421875, 'AI2': -1.0009765625} 
1485998631.53 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.9912109375, 'AI2': -0.9814453125} 
1485998631.57 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': -1.0009765625, 'AI2': -0.986328125} 
1485998631.62 {'AI5': 2.3291015625, 'AI4': 4.7802734375, 'AI0': -0.9912109375, 'AI2': -0.9912109375} 
1485998631.67 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.005859375, 'AI2': -1.015625} 
1485998631.72 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.966796875, 'AI2': -0.9765625} 
1485998631.77 {'AI5': 2.32421875, 'AI4': 4.7607421875, 'AI0': -0.99609375, 'AI2': -0.9912109375} 
1485998631.81 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.0009765625, 'AI2': -0.99609375} 
1485998631.86 {'AI5': 2.32421875, 'AI4': 4.7705078125, 'AI0': -1.0205078125, 'AI2': -1.005859375} 
1485998631.91 {'AI5': 2.32421875, 'AI4': 4.775390625, 'AI0': -0.9912109375, 'AI2': -1.005859375} 
1485998631.96 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.9814453125, 'AI2': -0.9814453125} 
1485998632.01 {'AI5': 2.3193359375, 'AI4': 4.765625, 'AI0': -0.9814453125, 'AI2': -0.9716796875} 
1485998632.05 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.986328125, 'AI2': -0.99609375} 
1485998632.1 {'AI5': 2.3193359375, 'AI4': 4.7705078125, 'AI0': -1.0107421875, 'AI2': -1.015625} 
1485998632.15 {'AI5': 2.32421875, 'AI4': 4.7705078125, 'AI0': -0.9912109375, 'AI2': -0.9912109375} 
1485998632.2 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.99609375, 'AI2': -0.99609375} 
1485998632.25 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.986328125, 'AI2': -0.986328125} 
1485998632.29 {'AI5': 2.3291015625, 'AI4': 4.765625, 'AI0': -0.99609375, 'AI2': -0.9912109375} 
1485998632.34 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.9912109375, 'AI2': -0.99609375} 
1485998632.39 {'AI5': 2.3291015625, 'AI4': 4.7705078125, 'AI0': -0.9814453125, 'AI2': -0.99609375} 
1485998632.44 {'AI5': 2.32421875, 'AI4': 4.7607421875, 'AI0': -1.0107421875, 'AI2': -1.0302734375} 
1485998632.49 {'AI5': 2.3193359375, 'AI4': 4.765625, 'AI0': -0.99609375, 'AI2': -1.005859375} 
1485998632.53 {'AI5': 2.3193359375, 'AI4': 4.765625, 'AI0': -1.0009765625, 'AI2': -1.015625} 
1485998632.58 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.986328125, 'AI2': -0.986328125} 
1485998632.63 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.005859375, 'AI2': -1.015625} 
1485998632.68 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.986328125, 'AI2': -1.0009765625} 
1485998632.73 {'AI5': 2.3193359375, 'AI4': 4.765625, 'AI0': -1.005859375, 'AI2': -1.0107421875} 
1485998632.77 {'AI5': 2.32421875, 'AI4': 4.7705078125, 'AI0': -1.0009765625, 'AI2': -0.99609375} 
1485998632.82 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.0205078125, 'AI2': -1.0107421875} 
1485998632.87 {'AI5': 2.314453125, 'AI4': 4.765625, 'AI0': -0.99609375, 'AI2': -1.0009765625} 
1485998632.92 {'AI5': 2.3193359375, 'AI4': 4.765625, 'AI0': -1.0009765625, 'AI2': -0.99609375} 
1485998632.97 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.9814453125, 'AI2': -0.99609375} 
1485998633.01 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.99609375, 'AI2': -1.015625} 
1485998633.06 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.0107421875, 'AI2': -1.015625} 
1485998633.11 {'AI5': 2.32421875, 'AI4': 4.7705078125, 'AI0': -1.0009765625, 'AI2': -1.005859375} 
1485998633.16 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.0009765625, 'AI2': -0.99609375} 
1485998633.21 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.986328125, 'AI2': -0.9765625} 
1485998633.25 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.015625, 'AI2': -1.005859375} 
1485998633.31 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.005859375, 'AI2': -1.005859375} 
1485998633.35 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.99609375, 'AI2': -1.005859375} 
1485998633.4 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.005859375, 'AI2': -1.0107421875} 
1485998633.45 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.986328125, 'AI2': -0.986328125} 
1485998633.49 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.986328125, 'AI2': -0.9765625} 
1485998633.54 {'AI5': 2.3291015625, 'AI4': 4.765625, 'AI0': -0.99609375, 'AI2': -0.9765625} 
1485998633.59 {'AI5': 2.3291015625, 'AI4': 4.765625, 'AI0': -0.986328125, 'AI2': -0.99609375} 
1485998633.64 {'AI5': 2.3291015625, 'AI4': 4.765625, 'AI0': -0.99609375, 'AI2': -1.005859375} 
1485998633.69 {'AI5': 2.32421875, 'AI4': 4.7705078125, 'AI0': -0.99609375, 'AI2': -0.99609375} 
1485998633.73 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.9912109375, 'AI2': -0.986328125} 
1485998633.78 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.0498046875, 'AI2': -1.0546875} 
1485998633.83 {'AI5': 2.3193359375, 'AI4': 4.775390625, 'AI0': -1.025390625, 'AI2': -1.0107421875} 
1485998633.88 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.99609375, 'AI2': -1.0009765625} 
1485998633.93 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.9619140625, 'AI2': -0.9521484375} 
1485998633.97 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.9912109375, 'AI2': -0.9912109375} 
1485998634.02 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.025390625, 'AI2': -1.0107421875} 
1485998634.07 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.966796875, 'AI2': -0.966796875} 
1485998634.12 {'AI5': 2.32421875, 'AI4': 4.7705078125, 'AI0': -1.0009765625, 'AI2': -0.986328125} 
1485998634.17 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.9716796875, 'AI2': -0.9765625} 
1485998634.21 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.0009765625, 'AI2': -1.015625} 
1485998634.26 {'AI5': 2.3193359375, 'AI4': 4.765625, 'AI0': -1.005859375, 'AI2': -1.0009765625} 
1485998634.31 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.9765625, 'AI2': -0.986328125} 
1485998634.36 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.9912109375, 'AI2': -0.99609375} 
1485998634.41 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.99609375, 'AI2': -0.9814453125} 
1485998634.45 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.0302734375, 'AI2': -1.0205078125} 
1485998634.5 {'AI5': 2.3291015625, 'AI4': 4.765625, 'AI0': -0.99609375, 'AI2': -0.99609375} 
1485998634.55 {'AI5': 2.3193359375, 'AI4': 4.765625, 'AI0': -0.9814453125, 'AI2': -1.0107421875} 
1485998634.6 {'AI5': 2.32421875, 'AI4': 4.7705078125, 'AI0': -0.9814453125, 'AI2': -0.986328125} 
