1485999604.475904 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.3125, 'AI2': 0.3076171875} 
1485999604.523396 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.3173828125, 'AI2': 0.3173828125} 
1485999604.571710 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.2880859375, 'AI2': 0.2783203125} 
1485999604.619491 {'AI5': 2.3193359375, 'AI4': 4.775390625, 'AI0': 0.3076171875, 'AI2': 0.302734375} 
1485999604.667289 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.25390625, 'AI2': 0.263671875} 
1485999604.715569 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.2783203125, 'AI2': 0.2880859375} 
1485999604.763230 {'AI5': 2.3291015625, 'AI4': 4.78515625, 'AI0': 0.3369140625, 'AI2': 0.3369140625} 
1485999604.811253 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.3076171875, 'AI2': 0.302734375} 
1485999604.859252 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.302734375, 'AI2': 0.3076171875} 
1485999604.907460 {'AI5': 2.3193359375, 'AI4': 4.7900390625, 'AI0': 0.3125, 'AI2': 0.3076171875} 
1485999604.955327 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.2783203125, 'AI2': 0.2685546875} 
1485999605.003261 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.33203125, 'AI2': 0.3271484375} 
1485999605.051232 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.3173828125, 'AI2': 0.3173828125} 
1485999605.099418 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.3564453125, 'AI2': 0.3515625} 
1485999605.147479 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.3125, 'AI2': 0.3076171875} 
1485999605.196477 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.2978515625, 'AI2': 0.29296875} 
1485999605.244134 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.3076171875, 'AI2': 0.302734375} 
