1485999170.389618 {'AI5': 2.3193359375, 'AI4': 4.7509765625, 'AI0': -0.5810546875, 'AI2': -0.5712890625} 
1485999170.437043 {'AI5': 2.3193359375, 'AI4': 4.7509765625, 'AI0': -0.556640625, 'AI2': -0.56640625} 
1485999170.486881 {'AI5': 2.3193359375, 'AI4': 4.74609375, 'AI0': -0.517578125, 'AI2': -0.52734375} 
1485999170.533141 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5322265625, 'AI2': -0.5322265625} 
1485999170.581047 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.56640625, 'AI2': -0.556640625} 
1485999170.628966 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5322265625, 'AI2': -0.52734375} 
1485999170.677003 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.5322265625, 'AI2': -0.5419921875} 
1485999170.725008 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.5517578125, 'AI2': -0.5517578125} 
1485999170.773044 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.556640625, 'AI2': -0.56640625} 
1485999170.821316 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.5322265625, 'AI2': -0.52734375} 
1485999170.869256 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5908203125, 'AI2': -0.595703125} 
1485999170.916951 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.6103515625, 'AI2': -0.6103515625} 
1485999170.964949 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.5712890625, 'AI2': -0.5615234375} 
1485999171.013314 {'AI5': 2.3193359375, 'AI4': 4.7412109375, 'AI0': -0.5322265625, 'AI2': -0.52734375} 
1485999171.060960 {'AI5': 2.3193359375, 'AI4': 4.7509765625, 'AI0': -0.5517578125, 'AI2': -0.5517578125} 
1485999171.109044 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.537109375, 'AI2': -0.5419921875} 
1485999171.159218 {'AI5': 2.3291015625, 'AI4': 4.7509765625, 'AI0': -0.5859375, 'AI2': -0.5859375} 
1485999171.205214 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.537109375, 'AI2': -0.537109375} 
1485999171.252879 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5859375, 'AI2': -0.576171875} 
1485999171.301185 {'AI5': 2.3193359375, 'AI4': 4.7509765625, 'AI0': -0.56640625, 'AI2': -0.56640625} 
1485999171.348923 {'AI5': 2.3193359375, 'AI4': 4.7509765625, 'AI0': -0.537109375, 'AI2': -0.517578125} 
1485999171.396978 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5322265625, 'AI2': -0.546875} 
1485999171.447718 {'AI5': 2.3291015625, 'AI4': 4.755859375, 'AI0': -0.52734375, 'AI2': -0.537109375} 
1485999171.494030 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.5517578125, 'AI2': -0.556640625} 
1485999171.540964 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.556640625, 'AI2': -0.5517578125} 
1485999171.589239 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.556640625, 'AI2': -0.5517578125} 
1485999171.636934 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.576171875, 'AI2': -0.576171875} 
1485999171.685126 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.517578125, 'AI2': -0.5078125} 
1485999171.733316 {'AI5': 2.3291015625, 'AI4': 4.755859375, 'AI0': -0.537109375, 'AI2': -0.5419921875} 
1485999171.784265 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.546875, 'AI2': -0.546875} 
1485999171.828923 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.517578125, 'AI2': -0.517578125} 
1485999171.877031 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.5517578125, 'AI2': -0.5615234375} 
1485999171.924947 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.546875, 'AI2': -0.5419921875} 
1485999171.973007 {'AI5': 2.3193359375, 'AI4': 4.765625, 'AI0': -0.5126953125, 'AI2': -0.5078125} 
1485999172.020969 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.537109375, 'AI2': -0.5419921875} 
1485999172.069049 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.546875, 'AI2': -0.546875} 
1485999172.117006 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.537109375, 'AI2': -0.546875} 
1485999172.164735 {'AI5': 2.3193359375, 'AI4': 4.7509765625, 'AI0': -0.537109375, 'AI2': -0.5517578125} 
1485999172.213202 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.537109375, 'AI2': -0.537109375} 
1485999172.260912 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.5322265625, 'AI2': -0.5126953125} 
1485999172.309460 {'AI5': 2.333984375, 'AI4': 4.755859375, 'AI0': -0.556640625, 'AI2': -0.546875} 
1485999172.356999 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.5517578125, 'AI2': -0.556640625} 
1485999172.404996 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5078125, 'AI2': -0.517578125} 
1485999172.452968 {'AI5': 2.3291015625, 'AI4': 4.755859375, 'AI0': -0.537109375, 'AI2': -0.5322265625} 
1485999172.501423 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.5517578125, 'AI2': -0.5419921875} 
1485999172.548956 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5126953125, 'AI2': -0.517578125} 
1485999172.597322 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5126953125, 'AI2': -0.5224609375} 
1485999172.644892 {'AI5': 2.3193359375, 'AI4': 4.7509765625, 'AI0': -0.546875, 'AI2': -0.537109375} 
1485999172.693185 {'AI5': 2.3193359375, 'AI4': 4.7509765625, 'AI0': -0.537109375, 'AI2': -0.537109375} 
1485999172.741479 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.556640625, 'AI2': -0.546875} 
1485999172.789177 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.546875, 'AI2': -0.5419921875} 
1485999172.837061 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.546875, 'AI2': -0.5517578125} 
1485999172.885282 {'AI5': 2.3193359375, 'AI4': 4.7509765625, 'AI0': -0.5224609375, 'AI2': -0.5224609375} 
1485999172.932934 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5029296875, 'AI2': -0.5029296875} 
1485999172.980850 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.5517578125, 'AI2': -0.546875} 
1485999173.028922 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.517578125, 'AI2': -0.517578125} 
1485999173.077108 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.537109375, 'AI2': -0.5517578125} 
1485999173.124868 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5078125, 'AI2': -0.5126953125} 
1485999173.173020 {'AI5': 2.333984375, 'AI4': 4.7607421875, 'AI0': -0.517578125, 'AI2': -0.5126953125} 
1485999173.221159 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5224609375, 'AI2': -0.52734375} 
1485999173.269460 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5322265625, 'AI2': -0.537109375} 
1485999173.316917 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.537109375, 'AI2': -0.556640625} 
1485999173.364933 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.5517578125, 'AI2': -0.5419921875} 
1485999173.413039 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.5078125, 'AI2': -0.5126953125} 
1485999173.461002 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.546875, 'AI2': -0.546875} 
1485999173.509643 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5517578125, 'AI2': -0.5322265625} 
1485999173.556938 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.537109375, 'AI2': -0.5419921875} 
1485999173.604833 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.546875, 'AI2': -0.5517578125} 
1485999173.653010 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.517578125, 'AI2': -0.5224609375} 
1485999173.700839 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.517578125, 'AI2': -0.517578125} 
1485999173.748958 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.576171875, 'AI2': -0.576171875} 
1485999173.797105 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5712890625, 'AI2': -0.5810546875} 
1485999173.844907 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.5419921875, 'AI2': -0.546875} 
1485999173.893106 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.52734375, 'AI2': -0.52734375} 
1485999173.940814 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5419921875, 'AI2': -0.52734375} 
1485999173.989059 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.537109375, 'AI2': -0.5224609375} 
1485999174.036956 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5224609375, 'AI2': -0.537109375} 
1485999174.084901 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5224609375, 'AI2': -0.5126953125} 
1485999174.133098 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.517578125, 'AI2': -0.5078125} 
1485999174.181095 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5322265625, 'AI2': -0.52734375} 
1485999174.228834 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.5712890625, 'AI2': -0.5712890625} 
